ID	speed	period	warning	pair
270	37	pre	no	1
271	37	pre	no	1
272	37	pre	no	1
273	37	pre	no	1
274	37	pre	no	1
275	37	pre	no	1
276	37	pre	no	1
277	38	pre	no	1
278	38	pre	no	1
279	38	pre	no	1
280	38	pre	no	1
281	38	pre	no	1
282	39	pre	no	1
283	39	pre	no	1
284	39	pre	no	1
285	39	pre	no	1
286	40	pre	no	1
287	40	pre	no	1
288	40	pre	no	1
289	40	pre	no	1
290	40	pre	no	1
291	41	pre	no	1
292	41	pre	no	1
293	41	pre	no	1
294	41	pre	no	1
295	41	pre	no	1
296	43	pre	no	1
297	45	pre	no	1
298	45	pre	no	1
299	48	pre	no	1
300	51	pre	no	1
301	28	after	no	1
302	29	after	no	1
303	30	after	no	1
304	30	after	no	1
305	31	after	no	1
306	31	after	no	1
307	31	after	no	1
308	31	after	no	1
309	31	after	no	1
310	31	after	no	1
311	31	after	no	1
312	32	after	no	1
313	32	after	no	1
314	32	after	no	1
315	33	after	no	1
316	33	after	no	1
317	33	after	no	1
318	33	after	no	1
319	33	after	no	1
320	33	after	no	1
321	33	after	no	1
322	33	after	no	1
323	33	after	no	1
324	33	after	no	1
325	35	after	no	1
326	35	after	no	1
327	35	after	no	1
328	35	after	no	1
329	36	after	no	1
330	36	after	no	1
331	36	after	no	1
332	36	after	no	1
333	36	after	no	1
334	36	after	no	1
335	36	after	no	1
336	36	after	no	1
337	37	after	no	1
338	37	after	no	1
339	38	after	no	1
340	38	after	no	1
341	38	after	no	1
342	38	after	no	1
343	38	after	no	1
344	38	after	no	1
345	38	after	no	1
346	38	after	no	1
347	38	after	no	1
348	38	after	no	1
349	38	after	no	1
350	38	after	no	1
351	38	after	no	1
352	38	after	no	1
353	38	after	no	1
354	39	after	no	1
355	39	after	no	1
356	39	after	no	1
357	39	after	no	1
358	39	after	no	1
359	39	after	no	1
360	40	after	no	1
361	40	after	no	1
362	40	after	no	1
363	40	after	no	1
364	40	after	no	1
365	40	after	no	1
366	40	after	no	1
367	40	after	no	1
368	40	after	no	1
369	40	after	no	1
370	41	after	no	1
371	42	after	no	1
372	42	after	no	1
373	42	after	no	1
374	42	after	no	1
375	42	after	no	1
376	43	after	no	1
377	43	after	no	1
378	43	after	no	1
379	43	after	no	1
380	43	after	no	1
381	44	after	no	1
382	44	after	no	1
383	44	after	no	1
384	45	after	no	1
385	45	after	no	1
386	45	after	no	1
387	45	after	no	1
388	45	after	no	1
389	45	after	no	1
390	45	after	no	1
391	46	after	no	1
392	46	after	no	1
393	46	after	no	1
394	46	after	no	1
395	47	after	no	1
396	48	after	no	1
397	48	after	no	1
398	50	after	no	1
399	53	after	no	1
400	56	after	no	1
401	25	pre	yes	2
402	28	pre	yes	2
403	31	pre	yes	2
404	31	pre	yes	2
405	32	pre	yes	2
406	32	pre	yes	2
407	33	pre	yes	2
408	33	pre	yes	2
409	33	pre	yes	2
410	33	pre	yes	2
411	33	pre	yes	2
412	33	pre	yes	2
413	33	pre	yes	2
414	34	pre	yes	2
415	34	pre	yes	2
416	34	pre	yes	2
417	34	pre	yes	2
418	34	pre	yes	2
419	34	pre	yes	2
420	34	pre	yes	2
421	35	pre	yes	2
422	35	pre	yes	2
423	35	pre	yes	2
424	35	pre	yes	2
425	35	pre	yes	2
426	35	pre	yes	2
427	35	pre	yes	2
428	35	pre	yes	2
429	35	pre	yes	2
430	35	pre	yes	2
431	36	pre	yes	2
432	36	pre	yes	2
433	36	pre	yes	2
434	36	pre	yes	2
435	36	pre	yes	2
436	36	pre	yes	2
437	36	pre	yes	2
438	36	pre	yes	2
439	36	pre	yes	2
440	36	pre	yes	2
441	37	pre	yes	2
442	37	pre	yes	2
443	37	pre	yes	2
444	37	pre	yes	2
445	37	pre	yes	2
446	37	pre	yes	2
447	38	pre	yes	2
448	38	pre	yes	2
449	38	pre	yes	2
450	38	pre	yes	2
451	38	pre	yes	2
452	38	pre	yes	2
453	39	pre	yes	2
454	39	pre	yes	2
455	39	pre	yes	2
456	39	pre	yes	2
457	39	pre	yes	2
458	39	pre	yes	2
459	39	pre	yes	2
460	39	pre	yes	2
461	39	pre	yes	2
462	39	pre	yes	2
463	40	pre	yes	2
464	40	pre	yes	2
465	40	pre	yes	2
466	40	pre	yes	2
467	40	pre	yes	2
468	40	pre	yes	2
469	41	pre	yes	2
470	41	pre	yes	2
471	41	pre	yes	2
472	42	pre	yes	2
473	42	pre	yes	2
474	42	pre	yes	2
475	42	pre	yes	2
476	42	pre	yes	2
477	43	pre	yes	2
478	43	pre	yes	2
479	43	pre	yes	2
480	43	pre	yes	2
481	43	pre	yes	2
482	44	pre	yes	2
483	44	pre	yes	2
484	44	pre	yes	2
485	45	pre	yes	2
486	45	pre	yes	2
487	45	pre	yes	2
488	46	pre	yes	2
489	46	pre	yes	2
490	46	pre	yes	2
491	46	pre	yes	2
492	47	pre	yes	2
493	47	pre	yes	2
494	48	pre	yes	2
495	50	pre	yes	2
496	50	pre	yes	2
497	52	pre	yes	2
498	53	pre	yes	2
499	54	pre	yes	2
500	57	pre	yes	2
501	27	after	yes	2
502	29	after	yes	2
503	31	after	yes	2
504	32	after	yes	2
505	32	after	yes	2
506	32	after	yes	2
507	32	after	yes	2
508	33	after	yes	2
509	33	after	yes	2
510	33	after	yes	2
511	33	after	yes	2
512	34	after	yes	2
513	34	after	yes	2
514	34	after	yes	2
515	34	after	yes	2
516	34	after	yes	2
517	35	after	yes	2
518	35	after	yes	2
519	35	after	yes	2
520	35	after	yes	2
521	35	after	yes	2
522	35	after	yes	2
523	35	after	yes	2
524	35	after	yes	2
525	35	after	yes	2
526	35	after	yes	2
527	36	after	yes	2
528	36	after	yes	2
529	36	after	yes	2
530	36	after	yes	2
531	36	after	yes	2
532	36	after	yes	2
533	36	after	yes	2
534	36	after	yes	2
535	37	after	yes	2
536	37	after	yes	2
537	37	after	yes	2
538	37	after	yes	2
539	37	after	yes	2
540	37	after	yes	2
541	37	after	yes	2
542	37	after	yes	2
543	38	after	yes	2
544	38	after	yes	2
545	38	after	yes	2
546	38	after	yes	2
547	38	after	yes	2
548	38	after	yes	2
549	38	after	yes	2
550	38	after	yes	2
551	38	after	yes	2
552	39	after	yes	2
553	39	after	yes	2
554	39	after	yes	2
555	39	after	yes	2
556	39	after	yes	2
557	39	after	yes	2
558	39	after	yes	2
559	39	after	yes	2
560	39	after	yes	2
561	39	after	yes	2
562	39	after	yes	2
563	40	after	yes	2
564	40	after	yes	2
565	40	after	yes	2
566	40	after	yes	2
567	40	after	yes	2
568	40	after	yes	2
569	40	after	yes	2
570	40	after	yes	2
571	40	after	yes	2
572	40	after	yes	2
573	41	after	yes	2
574	41	after	yes	2
575	41	after	yes	2
576	41	after	yes	2
577	41	after	yes	2
578	41	after	yes	2
579	41	after	yes	2
580	41	after	yes	2
581	41	after	yes	2
582	41	after	yes	2
583	41	after	yes	2
584	42	after	yes	2
585	42	after	yes	2
586	42	after	yes	2
587	42	after	yes	2
588	42	after	yes	2
589	42	after	yes	2
590	43	after	yes	2
591	43	after	yes	2
592	43	after	yes	2
593	43	after	yes	2
594	43	after	yes	2
595	45	after	yes	2
596	46	after	yes	2
597	46	after	yes	2
598	50	after	yes	2
599	50	after	yes	2
600	51	after	yes	2
601	22	pre	no	2
602	22	pre	no	2
603	23	pre	no	2
604	24	pre	no	2
605	24	pre	no	2
606	25	pre	no	2
607	25	pre	no	2
608	25	pre	no	2
609	25	pre	no	2
610	26	pre	no	2
611	26	pre	no	2
612	26	pre	no	2
613	26	pre	no	2
614	26	pre	no	2
615	27	pre	no	2
616	27	pre	no	2
617	27	pre	no	2
618	27	pre	no	2
619	27	pre	no	2
620	27	pre	no	2
621	27	pre	no	2
622	27	pre	no	2
623	27	pre	no	2
624	27	pre	no	2
625	28	pre	no	2
626	28	pre	no	2
627	28	pre	no	2
628	28	pre	no	2
629	28	pre	no	2
630	28	pre	no	2
631	28	pre	no	2
632	28	pre	no	2
633	28	pre	no	2
634	28	pre	no	2
635	28	pre	no	2
636	29	pre	no	2
637	29	pre	no	2
638	29	pre	no	2
639	29	pre	no	2
640	29	pre	no	2
641	29	pre	no	2
642	29	pre	no	2
643	29	pre	no	2
644	29	pre	no	2
645	29	pre	no	2
646	29	pre	no	2
647	29	pre	no	2
648	29	pre	no	2
649	30	pre	no	2
650	30	pre	no	2
651	30	pre	no	2
652	30	pre	no	2
653	30	pre	no	2
654	30	pre	no	2
655	30	pre	no	2
656	30	pre	no	2
657	30	pre	no	2
658	30	pre	no	2
659	31	pre	no	2
660	31	pre	no	2
661	31	pre	no	2
662	31	pre	no	2
663	31	pre	no	2
664	31	pre	no	2
665	32	pre	no	2
666	32	pre	no	2
667	32	pre	no	2
668	32	pre	no	2
669	32	pre	no	2
670	32	pre	no	2
671	32	pre	no	2
672	32	pre	no	2
673	32	pre	no	2
674	33	pre	no	2
675	33	pre	no	2
676	33	pre	no	2
677	33	pre	no	2
678	33	pre	no	2
679	33	pre	no	2
680	33	pre	no	2
681	34	pre	no	2
682	34	pre	no	2
683	34	pre	no	2
684	34	pre	no	2
685	34	pre	no	2
686	34	pre	no	2
687	34	pre	no	2
688	34	pre	no	2
689	34	pre	no	2
690	35	pre	no	2
691	35	pre	no	2
692	36	pre	no	2
693	36	pre	no	2
694	36	pre	no	2
695	37	pre	no	2
696	38	pre	no	2
697	38	pre	no	2
698	39	pre	no	2
699	42	pre	no	2
700	42	pre	no	2
701	25	after	no	2
702	26	after	no	2
703	27	after	no	2
704	28	after	no	2
705	28	after	no	2
706	28	after	no	2
707	28	after	no	2
708	28	after	no	2
709	28	after	no	2
710	28	after	no	2
711	29	after	no	2
712	29	after	no	2
713	29	after	no	2
714	29	after	no	2
715	29	after	no	2
716	29	after	no	2
717	29	after	no	2
718	29	after	no	2
719	30	after	no	2
720	30	after	no	2
721	30	after	no	2
722	30	after	no	2
723	30	after	no	2
724	30	after	no	2
725	30	after	no	2
726	31	after	no	2
727	31	after	no	2
728	31	after	no	2
729	31	after	no	2
730	31	after	no	2
731	31	after	no	2
732	31	after	no	2
733	31	after	no	2
734	31	after	no	2
735	32	after	no	2
736	32	after	no	2
737	32	after	no	2
738	32	after	no	2
739	32	after	no	2
740	32	after	no	2
741	33	after	no	2
742	33	after	no	2
743	34	after	no	2
744	34	after	no	2
745	34	after	no	2
746	34	after	no	2
747	34	after	no	2
748	34	after	no	2
749	34	after	no	2
750	34	after	no	2
751	35	after	no	2
752	35	after	no	2
753	35	after	no	2
754	35	after	no	2
755	35	after	no	2
756	35	after	no	2
757	35	after	no	2
758	35	after	no	2
759	35	after	no	2
760	35	after	no	2
761	35	after	no	2
762	35	after	no	2
763	35	after	no	2
764	35	after	no	2
765	36	after	no	2
766	36	after	no	2
767	36	after	no	2
768	36	after	no	2
769	36	after	no	2
770	36	after	no	2
771	36	after	no	2
772	37	after	no	2
773	37	after	no	2
774	37	after	no	2
775	38	after	no	2
776	38	after	no	2
777	38	after	no	2
778	39	after	no	2
779	40	after	no	2
780	40	after	no	2
781	40	after	no	2
782	40	after	no	2
783	40	after	no	2
784	40	after	no	2
785	41	after	no	2
786	41	after	no	2
787	41	after	no	2
788	42	after	no	2
789	44	after	no	2
790	44	after	no	2
791	44	after	no	2
792	44	after	no	2
793	45	after	no	2
794	46	after	no	2
795	47	after	no	2
796	47	after	no	2
797	50	after	no	2
798	50	after	no	2
799	51	after	no	2
800	52	after	no	2
801	22	pre	yes	3
802	24	pre	yes	3
803	24	pre	yes	3
804	25	pre	yes	3
805	25	pre	yes	3
806	25	pre	yes	3
807	26	pre	yes	3
808	26	pre	yes	3
809	27	pre	yes	3
810	27	pre	yes	3
811	27	pre	yes	3
812	28	pre	yes	3
813	28	pre	yes	3
814	28	pre	yes	3
815	28	pre	yes	3
816	28	pre	yes	3
817	28	pre	yes	3
818	28	pre	yes	3
819	28	pre	yes	3
820	28	pre	yes	3
821	28	pre	yes	3
822	28	pre	yes	3
823	29	pre	yes	3
824	29	pre	yes	3
825	29	pre	yes	3
826	29	pre	yes	3
827	29	pre	yes	3
828	29	pre	yes	3
829	29	pre	yes	3
830	30	pre	yes	3
831	30	pre	yes	3
832	30	pre	yes	3
833	30	pre	yes	3
834	30	pre	yes	3
835	30	pre	yes	3
836	30	pre	yes	3
837	30	pre	yes	3
838	30	pre	yes	3
839	30	pre	yes	3
840	31	pre	yes	3
841	31	pre	yes	3
842	31	pre	yes	3
843	31	pre	yes	3
844	31	pre	yes	3
845	31	pre	yes	3
846	31	pre	yes	3
847	31	pre	yes	3
848	31	pre	yes	3
849	31	pre	yes	3
850	32	pre	yes	3
851	32	pre	yes	3
852	32	pre	yes	3
853	32	pre	yes	3
854	32	pre	yes	3
855	32	pre	yes	3
856	32	pre	yes	3
857	32	pre	yes	3
858	32	pre	yes	3
859	32	pre	yes	3
860	33	pre	yes	3
861	33	pre	yes	3
862	33	pre	yes	3
863	33	pre	yes	3
864	33	pre	yes	3
865	34	pre	yes	3
866	34	pre	yes	3
867	34	pre	yes	3
868	34	pre	yes	3
869	34	pre	yes	3
870	34	pre	yes	3
871	34	pre	yes	3
872	35	pre	yes	3
873	35	pre	yes	3
874	35	pre	yes	3
875	35	pre	yes	3
876	35	pre	yes	3
877	36	pre	yes	3
878	36	pre	yes	3
879	36	pre	yes	3
880	37	pre	yes	3
881	37	pre	yes	3
882	37	pre	yes	3
883	37	pre	yes	3
884	37	pre	yes	3
885	37	pre	yes	3
886	38	pre	yes	3
887	38	pre	yes	3
888	38	pre	yes	3
889	38	pre	yes	3
890	38	pre	yes	3
891	39	pre	yes	3
892	39	pre	yes	3
893	39	pre	yes	3
894	39	pre	yes	3
895	40	pre	yes	3
896	40	pre	yes	3
897	41	pre	yes	3
898	42	pre	yes	3
899	42	pre	yes	3
900	44	pre	yes	3
901	21	after	yes	3
902	25	after	yes	3
903	26	after	yes	3
904	26	after	yes	3
905	26	after	yes	3
906	26	after	yes	3
907	26	after	yes	3
908	28	after	yes	3
909	28	after	yes	3
910	28	after	yes	3
911	29	after	yes	3
912	29	after	yes	3
913	29	after	yes	3
914	29	after	yes	3
915	29	after	yes	3
916	30	after	yes	3
917	30	after	yes	3
918	30	after	yes	3
919	30	after	yes	3
920	30	after	yes	3
921	30	after	yes	3
922	30	after	yes	3
923	31	after	yes	3
924	31	after	yes	3
925	31	after	yes	3
926	31	after	yes	3
927	31	after	yes	3
928	31	after	yes	3
929	31	after	yes	3
930	31	after	yes	3
931	31	after	yes	3
932	32	after	yes	3
933	32	after	yes	3
934	32	after	yes	3
935	32	after	yes	3
936	32	after	yes	3
937	32	after	yes	3
938	32	after	yes	3
939	32	after	yes	3
940	33	after	yes	3
941	33	after	yes	3
942	33	after	yes	3
943	33	after	yes	3
944	33	after	yes	3
945	33	after	yes	3
946	33	after	yes	3
947	33	after	yes	3
948	33	after	yes	3
949	33	after	yes	3
950	33	after	yes	3
951	33	after	yes	3
952	34	after	yes	3
953	34	after	yes	3
954	34	after	yes	3
955	34	after	yes	3
956	34	after	yes	3
957	34	after	yes	3
958	34	after	yes	3
959	34	after	yes	3
960	34	after	yes	3
961	34	after	yes	3
962	34	after	yes	3
963	35	after	yes	3
964	35	after	yes	3
965	35	after	yes	3
966	35	after	yes	3
967	35	after	yes	3
968	35	after	yes	3
969	35	after	yes	3
970	35	after	yes	3
971	35	after	yes	3
972	35	after	yes	3
973	36	after	yes	3
974	36	after	yes	3
975	36	after	yes	3
976	36	after	yes	3
977	36	after	yes	3
978	36	after	yes	3
979	36	after	yes	3
980	37	after	yes	3
981	37	after	yes	3
982	37	after	yes	3
983	37	after	yes	3
984	37	after	yes	3
985	38	after	yes	3
986	38	after	yes	3
987	38	after	yes	3
988	39	after	yes	3
989	39	after	yes	3
990	39	after	yes	3
991	39	after	yes	3
992	39	after	yes	3
993	39	after	yes	3
994	41	after	yes	3
995	42	after	yes	3
996	43	after	yes	3
997	43	after	yes	3
998	44	after	yes	3
999	45	after	yes	3
1000	46	after	yes	3
1001	24	pre	yes	4
1002	24	pre	yes	4
1003	28	pre	yes	4
1004	28	pre	yes	4
1005	28	pre	yes	4
1006	28	pre	yes	4
1007	29	pre	yes	4
1008	29	pre	yes	4
1009	29	pre	yes	4
1010	29	pre	yes	4
1011	29	pre	yes	4
1012	30	pre	yes	4
1013	30	pre	yes	4
1014	30	pre	yes	4
1015	30	pre	yes	4
1016	30	pre	yes	4
1017	30	pre	yes	4
1018	31	pre	yes	4
1019	31	pre	yes	4
1020	31	pre	yes	4
1021	32	pre	yes	4
1022	32	pre	yes	4
1023	32	pre	yes	4
1024	32	pre	yes	4
1025	33	pre	yes	4
1026	33	pre	yes	4
1027	33	pre	yes	4
1028	33	pre	yes	4
1029	33	pre	yes	4
1030	33	pre	yes	4
1031	33	pre	yes	4
1032	33	pre	yes	4
1033	34	pre	yes	4
1034	34	pre	yes	4
1035	34	pre	yes	4
1036	34	pre	yes	4
1037	34	pre	yes	4
1038	35	pre	yes	4
1039	35	pre	yes	4
1040	35	pre	yes	4
1041	35	pre	yes	4
1042	35	pre	yes	4
1043	35	pre	yes	4
1044	35	pre	yes	4
1045	36	pre	yes	4
1046	36	pre	yes	4
1047	36	pre	yes	4
1048	36	pre	yes	4
1049	36	pre	yes	4
1050	36	pre	yes	4
1051	36	pre	yes	4
1052	36	pre	yes	4
1053	36	pre	yes	4
1054	37	pre	yes	4
1055	37	pre	yes	4
1056	37	pre	yes	4
1057	37	pre	yes	4
1058	37	pre	yes	4
1059	37	pre	yes	4
1060	37	pre	yes	4
1061	37	pre	yes	4
1062	37	pre	yes	4
1063	37	pre	yes	4
1064	38	pre	yes	4
1065	38	pre	yes	4
1066	38	pre	yes	4
1067	38	pre	yes	4
1068	38	pre	yes	4
1069	39	pre	yes	4
1070	39	pre	yes	4
1071	39	pre	yes	4
1072	39	pre	yes	4
1073	39	pre	yes	4
1074	39	pre	yes	4
1075	40	pre	yes	4
1076	40	pre	yes	4
1077	40	pre	yes	4
1078	40	pre	yes	4
1079	40	pre	yes	4
1080	40	pre	yes	4
1081	40	pre	yes	4
1082	41	pre	yes	4
1083	41	pre	yes	4
1084	41	pre	yes	4
1085	42	pre	yes	4
1086	42	pre	yes	4
1087	43	pre	yes	4
1088	43	pre	yes	4
1089	44	pre	yes	4
1090	44	pre	yes	4
1091	44	pre	yes	4
1092	45	pre	yes	4
1093	45	pre	yes	4
1094	45	pre	yes	4
1095	46	pre	yes	4
1096	47	pre	yes	4
1097	48	pre	yes	4
1098	49	pre	yes	4
1099	50	pre	yes	4
1100	55	pre	yes	4
1101	27	after	yes	4
1102	28	after	yes	4
1103	28	after	yes	4
1104	29	after	yes	4
1105	29	after	yes	4
1106	29	after	yes	4
1107	29	after	yes	4
1108	30	after	yes	4
1109	30	after	yes	4
1110	30	after	yes	4
1111	30	after	yes	4
1112	30	after	yes	4
1113	30	after	yes	4
1114	30	after	yes	4
1115	30	after	yes	4
1116	30	after	yes	4
1117	30	after	yes	4
1118	31	after	yes	4
1119	31	after	yes	4
1120	31	after	yes	4
1121	31	after	yes	4
1122	31	after	yes	4
1123	31	after	yes	4
1124	32	after	yes	4
1125	32	after	yes	4
1126	32	after	yes	4
1127	32	after	yes	4
1128	32	after	yes	4
1129	32	after	yes	4
1130	32	after	yes	4
1131	32	after	yes	4
1132	32	after	yes	4
1133	32	after	yes	4
1134	33	after	yes	4
1135	33	after	yes	4
1136	33	after	yes	4
1137	33	after	yes	4
1138	33	after	yes	4
1139	33	after	yes	4
1140	33	after	yes	4
1141	34	after	yes	4
1142	34	after	yes	4
1143	34	after	yes	4
1144	34	after	yes	4
1145	34	after	yes	4
1146	35	after	yes	4
1147	35	after	yes	4
1148	35	after	yes	4
1149	35	after	yes	4
1150	35	after	yes	4
1151	35	after	yes	4
1152	35	after	yes	4
1153	35	after	yes	4
1154	36	after	yes	4
1155	36	after	yes	4
1156	36	after	yes	4
1157	36	after	yes	4
1158	36	after	yes	4
1159	36	after	yes	4
1160	36	after	yes	4
1161	37	after	yes	4
1162	37	after	yes	4
1163	37	after	yes	4
1164	37	after	yes	4
1165	38	after	yes	4
1166	38	after	yes	4
1167	38	after	yes	4
1168	38	after	yes	4
1169	38	after	yes	4
1170	38	after	yes	4
1171	38	after	yes	4
1172	39	after	yes	4
1173	39	after	yes	4
1174	39	after	yes	4
1175	39	after	yes	4
1176	40	after	yes	4
1177	40	after	yes	4
1178	40	after	yes	4
1179	40	after	yes	4
1180	41	after	yes	4
1181	41	after	yes	4
1182	41	after	yes	4
1183	41	after	yes	4
1184	41	after	yes	4
1185	41	after	yes	4
1186	42	after	yes	4
1187	42	after	yes	4
1188	43	after	yes	4
1189	44	after	yes	4
1190	44	after	yes	4
1191	44	after	yes	4
1192	45	after	yes	4
1193	45	after	yes	4
1194	45	after	yes	4
1195	47	after	yes	4
1196	47	after	yes	4
1197	47	after	yes	4
1198	48	after	yes	4
1199	49	after	yes	4
1200	49	after	yes	4
1201	26	pre	no	4
1202	26	pre	no	4
1203	26	pre	no	4
1204	27	pre	no	4
1205	28	pre	no	4
1206	28	pre	no	4
1207	29	pre	no	4
1208	30	pre	no	4
1209	31	pre	no	4
1210	31	pre	no	4
1211	32	pre	no	4
1212	32	pre	no	4
1213	32	pre	no	4
1214	32	pre	no	4
1215	32	pre	no	4
1216	32	pre	no	4
1217	33	pre	no	4
1218	33	pre	no	4
1219	33	pre	no	4
1220	33	pre	no	4
1221	33	pre	no	4
1222	33	pre	no	4
1223	33	pre	no	4
1224	34	pre	no	4
1225	34	pre	no	4
1226	34	pre	no	4
1227	34	pre	no	4
1228	35	pre	no	4
1229	35	pre	no	4
1230	35	pre	no	4
